season,id,title,air_date,vid,reair
2012,15,Massage Chairs,2012-04-26,saPArolX46E,
2012,16,Shikoku Pilgrimage,2012-05-03,8DVN0Zrd8wk,
2012,17,Regional Fast Food,2012-05-10,oHO_wVkgED0,
2012,18,Department Stores,2012-05-17,MIg5Kq77lrM,
2012,19,Kimonos,2012-05-24,6_sgc-H1bzM,
2012,20,Aquariums,2012-06-07,n6-U_jZK4Q8,
2012,21,Confectionery,2012-06-14,Eh6iVXlKuRM,
2012,22,Dolls,2012-06-21,YC7JhlDxEeA,
2012,23,Moss,2012-07-05,V55QK7oIsGU,
2012,24,High School Baseball,2012-07-12,ysw_jrV5l0c,
2012,25,Planetariums,2012-07-19,fQX7G8Rw97M,
2012,26,Japanophiles: Adam Booth,2012-08-16,bv5wsgE4oxk,
2012,27,Japanophiles: Dave Spector,2012-08-23,M2HGGdHw6dg,
2012,28,Japanophiles: Euan Craig,2012-08-30,6o9qmc9cJp8,
2012,29,Shamisen,2012-09-06,SBXBdsijm00,
2012,30,Crested Ibises,2012-09-13,n3gvdufAHiY,
2012,31,Abalone,2012-09-20,RDHr54aBRxY,
2012,32,Tokyo Station,2012-10-04,_aJTtyU_-_I,
2012,33,Tokyo Skytree,2012-10-11,rzj5wSHSqo0,
2012,34,Tokyo Bay,2012-10-18,jFm6kuMJSmo,
2012,35,"Potatoes, Taros, and Yams",2012-11-01,TYptRf1NH3w,
2012,36,Name Seals,2012-11-08,c3k27FEDJnw,
2012,37,Mushrooms,2012-11-15,guIqcOYW_sg,
2012,38,Vending Machines,2012-11-22,8SNqD6YqVhQ,
2012,39,Scissors,2012-12-06,gRFtgzlxCwk,
2012,40,Satsuma Mandarins,2012-12-13,pMJtbxuwNsE,
2012,41,Gift Giving,2012-12-20,w7J9FSMMItk,
2012,42,Mapping Kyoto Streets,2012-06-27,ey3oJ1aZagE,
2013,1,Sumo,2013-01-10,3GveQ9BUTzY,
2013,2,Bathroom Scales,2013-01-17,4pYLzPJ3u78,
2013,3,Enka,2013-01-24,,
2013,4,Small Factories,2013-01-31,gRgCUQB_Igg,
2013,5,Japanophiles: Azby Brown,2013-02-07,soCfnDjSt5Y,
2013,6,Japanophiles: Ernst Seiler,2013-02-14,TAWTGpckcbA,
2013,7,Japanophiles: Yasokichi Konishiki,2013-02-21,3kWXUJWagPE,
2013,8,Ume Plums,2013-03-07,w1u0S5BwJn4,
2013,9,Storehouses,2013-03-14,n7iVJ75W_vM,
2013,10,Wagyu,2013-03-21,UmpWgiifV1U,
2013,11,Uniforms,2013-04-04,krmMWEOa_JA,
2013,12,Rice Cookers,2013-04-11,3uax8CT99WY,
2013,13,Burial Mounds,2013-04-18,c6UJTxLKIK8,
2013,14,Stationery,2013-04-25,Zjeq5AWbilI,
2013,15,Bread,2013-05-02,5lbku0WltJ8,
2013,16,Pine Trees,2013-05-09,zpJ8k7USDjw,
2013,17,Parcel Delivery,2013-05-16,qa20LiLUaGE,
2013,18,Pro Wrestling,2013-05-23,iSUDzZfJ-5c,
2013,19,Strawberries,2013-05-30,791_HrYo9V0,
2013,20,Calculators,2013-06-13,FWyu0YkwbcE,
2013,21,Television,2013-06-27,JSX_9eAOaJ0,
2013,22,Lake Biwa,2013-07-04,,
2013,23,Expressways,2013-07-11,zCwoBfhCTVk,
2013,24,Beer,2013-07-18,taAKqUqeY5k,
2013,25,Japanophiles: Mike Harris,2013-08-01,pVbU4qU968Q,
2013,26,Japanophiles: Karl Bengs,2013-08-08,6W66pMlyhLc,
2013,27,Japanophiles: Kenny Omega,2013-08-15,KlHHcKyKmMI,
2013,28,Shakuhachi,2013-09-05,-P074IdkOmo,
2013,29,Convenience Stores,2013-09-12,wGhgQid3-ak,
2013,30,Used Books,2013-09-19,ZuMLx0f-Hwo,
2013,31,Women's Nylons,2013-10-03,tSYNS3-nLuw,
2013,32,Remote Islands,2013-10-10,qdaleZmooKs,
2013,33,Characters and Mascots,2013-10-17,,
2013,34,Grapes,2013-10-24,lhLkRHCaawY,
2013,35,Makeup,2013-11-07,KlZKvwGz4vA,
2013,36,Ukiyo-e,2013-11-14,Ro5boJp7am0,
2013,37,Buses,2013-11-21,xJ2Iqe1kOUY,
2013,38,Parties and Gatherings,2013-12-05,hKuAehtS3Ts,
2013,39,Conveyor Belt Sushi,2013-12-12,GrFi9S7QtbA,
2013,40,Pets,2013-12-19,ZR_KRo-JqZA,
2014,1,Persimmons,2014-01-09,-tEtKtio5go,
2014,2,Nighttime Scenery,2014-01-16,-U8bWBx0adg,
2014,3,Ise Jingu,2014-01-23,CqKentxOn8I,
2014,4,K-cars,2014-01-30,no0fv8PUG8Q,
2014,5,Japanophiles: Nancy Singleton Hachisu,2014-02-13,ldxEEKvmFD4,
2014,6,Japanophiles: Chris Hart,2014-02-20,4jc1Vl_0sOQ,
2014,7,Japanophiles: Rogier Uitenboogaart,2014-02-27,78EhvktAJgA,
2014,8,Railways,2014-03-06,lJj_Tq82ZJ4,
2014,9,Pianos,2014-03-13,hFQ7xekNoHc,
2014,10,Squid,2014-03-20,BVqOSwlszfM,
2014,11,Bathhouses,2014-04-03,2M16x_wZvKo,
2014,12,Ramen,2014-04-10,5fz8-QS848Y,
2014,13,Mt. Fuji,2014-04-17,-x4-2FUcpWA,
2014,14,Shogi,2014-04-24,Xd3ml3C12MM,
2014,15,Cherry Trees,2014-05-01,1kYs0YQE4vE,
2014,16,Akihabara,2014-05-08,,
2014,17,Wagashi,2014-05-15,pEoxU9hB_JM,
2014,18,Ninja,2014-05-22,1dWR3P0oHqs,
2014,19,Rice,2014-05-29,ic6fiwCIzmg,
2014,20,Castles,2014-06-05,ID2IyRLC4Bo,
2014,21,Japanophiles: Elizabeth Suzuki,2014-07-03,SPMj6mfIP0E,
2014,22,Japanophiles: Everett Kennedy Brown,2014-07-10,,
2014,23,Japanophiles: Carolin Eckhardt,2014-07-17,phbWPNlqQw0,
2014,24,Karaoke Boxes,2014-08-07,6g1o56siErs,
2014,25,Bento,2014-08-14,FMb483sp73A,
2014,26,Bamboo,2014-08-21,fmxW59spdss,
2014,27,Taiko Drums,2014-09-04,u9osJPYSZrY,
2014,28,Tsukiji Market,2014-09-11,fA0PS5TeuC4,
2014,29,Festivals,2014-09-18,OGnM9ZdIm1M,
2014,30,Japanese Gardens,2014-09-25,,
2014,31,Origami,2014-10-02,jblGcD4REmc,
2014,32,Buddhist Statues,2014-10-09,IP9NbHwLeis,
2014,33,Yokai,2014-10-16,m5J90ilJsc0,
2014,34,Shinkansen,2014-10-23,FHh92knjQZU,
2014,35,Lessons for Life,2014-11-06,sDV7SMXYiBY,
2014,36,Robots,2014-11-13,,
2014,37,Sports Days,2014-11-20,8yG2LLxePjo,
2014,38,Bonsai,2014-12-04,aVsb6RwsMTg,
2014,39,Sushi,2014-12-11,VwkLdQuT7q0,yes
2014,40,Geisha,2014-12-18,OZJfxYBt-MY,
2015,1,Japanophiles: Bartholomeus Greb,2015-01-08,,
2015,2,Japanophiles: Ivan Vartanian,2015-01-15,vs3yFgLGiDE,
2015,3,Japanophiles: Alex Bennett,2015-01-22,nsz0AUrS_pw,
2015,4,The Seikan Tunnel,2015-02-05,,
2015,5,Snow Country,2015-02-12,JCqCWMPG6MQ,
2015,6,Comedy,2015-02-19,THD-WPZz4w8,
2015,7,Tokyo Metropolitan Expressway,2015-04-02,N1v7TibfZyw,
2015,8,A Season of Change,2015-04-16,W4RofAWCTiQ,
2015,9,Waste and Recycling,2015-04-23,WVON5VosuKs,
2015,10,Period Dramas,2015-04-30,,
2015,11,Weight Loss Industry,2015-05-07,,
2015,12,Dams,2015-05-14,,
2015,13,Izakaya,2015-05-28,,
2015,14,Craft Beer,2015-06-04,,
2015,15,Fermented Foods,2015-06-11,,
2015,16,Umbrellas,2015-06-18,,
2015,17,Job Hunting,2015-06-25,,
2015,18,Japanophiles: Amir Takahashi,2015-07-09,,
2015,19,The English Conversation Business,2015-07-16,,
2015,20,English at School,2015-07-23,,
2015,21,Shrine & Temple Carpenters,2015-08-06,,
2015,22,Bunraku,2015-08-13,,
2015,23,Kids' Summer Holidays,2015-09-03,,
2015,24,Swimming,2015-09-10,,
2015,25,Haunted Houses,2015-09-17,,
2015,26,Onsen,2015-10-01,,
2015,27,Japanophiles: Andrew Mancabelli,2015-10-08,,
2015,28,Cameras,2015-10-15,,
2015,29,Wrapping and Packaging,2015-10-22,,
2015,30,Tokyo Housing,2015-11-12,,
2015,31,Japanophiles: Adam Zgola,2015-11-19,,
2015,32,Kombu,2015-11-26,,
2015,33,Hotels and Inns,2015-12-03,,
2015,34,Tidying Up,2015-12-10,,
2015,35,Mt. Takao,2015-12-17,,
2016,1,Japanophiles: Maud Archambault,2016-01-07,,
2016,2,Silk,2016-01-14,,
2016,3,Underground Tokyo,2016-01-28,,
2016,4,Onsen,2016-02-04,,
2016,5,Earthquake Preparedness,2016-02-11,,
2016,6,Wrapping and Packaging,2016-02-18,,
2016,7,Japanophiles: Jorge Cabeza Fernandez,2016-02-25,,
2016,8,Japanophiles: Pico Iyer,2016-03-03,,
2016,9,A Season of Change,2016-03-10,,
2016,10,Okinawan Dance,2016-03-17,,
2016,11,Japanophiles: Adam Zgola,2016-03-24,,
2016,12,Tidying Up,2016-03-31,,
2016,13,Whiskey,2016-04-07,,
2016,14,Quest for Perfect Skin,2016-04-14,,
